feature_time_wib,sym,dir,venue,hit,pnl,btc_ctx_time_wib,btc_regime,btc_confidence,btc_syn_score,btc_fng,btc_funding,btc_oi_usd,btc_etf_bias,btc_rsi,ctx_lag_s
2026-08-08 20:17:12,AVNT,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-08 20:17:15,1MBABYDOGE,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-09 03:37:03,MUBARAK,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-09 04:06:19,GLMR,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-09 04:34:01,BROCCOLI714,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-09 06:36:02,TOWNS,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-09 06:36:04,C,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-09 08:06:11,BANANAS31,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-09 08:17:26,BICO,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-09 08:17:33,TAO,SHORT,futures,TIME_EXIT,6.93,,,,,,,,,,
2026-08-09 08:17:35,HMSTR,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-09 12:06:30,SAGA,SHORT,futures,FLT15,90.15,,,,,,,,,,
2026-08-09 12:17:31,TUT,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-09 12:36:14,DOGE,SHORT,futures,DRIFT,-0.19,,,,,,,,,,
2026-08-09 12:36:30,DYM,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-09 12:36:32,RARE,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-09 16:17:39,SOLV,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-09 16:17:49,POL,SHORT,futures,TIME_EXIT,1.4,,,,,,,,,,
2026-08-09 16:17:51,PARTI,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-09 20:06:42,SHELL,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-09 20:06:44,CRV,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-09 20:06:46,BOME,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-09 20:06:52,ADX,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-10 00:07:19,BMT,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-10 00:17:51,NEIRO,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-10 00:17:54,THE,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-10 00:18:09,SCR,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-10 01:06:31,KERNEL,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-10 04:07:40,LISTA,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-10 04:18:01,PEOPLE,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-10 06:37:35,AVAX,SHORT,futures,DRIFT,-1.39,,,,,,,,,,
2026-08-10 07:07:56,ADA,SHORT,futures,DRIFT,-1.48,,,,,,,,,,
2026-08-10 07:36:16,SUI,SHORT,futures,SL,-2.49,,,,,,,,,,
2026-08-10 08:09:09,MUBARAK,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-10 08:09:11,BANANAS31,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-10 08:09:13,CGPT,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-10 08:09:15,AIXBT,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-10 08:09:19,HAEDAL,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-10 08:09:22,MEME,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-10 12:07:46,ACT,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-10 12:07:48,PUMP,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-10 12:07:50,NIL,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-10 16:09:19,JTO,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-10 16:09:21,WLD,SHORT,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-10 16:09:23,PENGU,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-10 16:09:25,GUN,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-10 16:09:27,QQQB,SHORT,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-10 16:09:29,ZRO,SHORT,futures,TIME_EXIT,11.94,,,,,,,,,,
2026-08-10 16:09:31,ICP,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-10 16:09:33,XPL,SHORT,futures,TIME_EXIT,4.92,,,,,,,,,,
2026-08-10 16:39:57,POL,SHORT,futures,TIME_EXIT,15.54,,,,,,,,,,
2026-08-10 20:16:00,BIO,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-10 20:17:42,ALT,SHORT,futures,TIME_EXIT,25.35,,,,,,,,,,
2026-08-10 20:17:44,CRV,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-10 22:30:45,BTC,SHORT,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-11 00:10:53,PHA,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-11 04:12:09,PAXG,SHORT,futures,TIME_EXIT,4.5,,,,,,,,,,
2026-08-11 04:12:11,FF,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-11 04:12:13,OP,SHORT,futures,TIME_EXIT,4.1,,,,,,,,,,
2026-08-11 04:12:15,ARB,SHORT,futures,TIME_EXIT,13.97,,,,,,,,,,
2026-08-11 04:17:57,XAUT,SHORT,futures,TIME_EXIT,4.89,,,,,,,,,,
2026-08-11 08:17:56,PROM,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-11 08:18:01,WLFI,SHORT,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-11 08:42:50,APT,SHORT,futures,DRIFT,0.4,,,,,,,,,,
2026-08-11 08:43:02,CVX,SHORT,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-11 08:43:03,TOWNS,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-11 12:08:28,RAD,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-11 12:08:33,PUMP,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-11 12:08:35,LINK,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-11 12:08:37,SNDKB,SHORT,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-11 12:08:39,SNXXB,SHORT,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-11 16:15:21,LA,SHORT,futures,TP1,26.32,,,,,,,,,,
2026-08-11 16:17:07,0G,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-12 12:15:09,GMX,LONG,futures,TP1,25.0,,,,,,,,,,
2026-08-12 12:15:55,LTC,LONG,futures,SL,-2.5,,,,,,,,,,
2026-08-12 12:16:43,ETH,SHORT,futures,SL,-2.49,,,,,,,,,,
2026-08-12 12:19:05,DOGE,SHORT,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-12 17:10:33,GRT,LONG,futures,SL,-2.52,,,,,,,,,,
2026-08-13 02:33:07,VIRTUAL,SHORT,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-13 15:00:23,BTC,SHORT,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-14 04:15:46,EDEN,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-14 04:45:17,ETHFI,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-14 05:18:19,ATOM,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-14 09:45:27,SCRT,SHORT,futures,SL,-9.8,,,,,,,,,,
2026-08-14 12:10:33,ETC,LONG,futures,SL,-2.5,,,,,,,,,,
2026-08-14 15:15:14,BTC,SHORT,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-14 16:14:19,ORDI,SHORT,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-14 22:38:11,INJ,LONG,futures,TP1,5.0,,,,,,,,,,
2026-08-15 08:13:05,SOL,LONG,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-15 15:30:19,BTC,SHORT,futures,EXPIRED,EXPIRED,,,,,,,,,,
2026-08-15 16:39:13,ORDI,SHORT,futures,SL,-2.49,,,,,,,,,,
2026-08-16 06:08:08,AVAX,LONG,futures,TP1,5.0,,,,,,,,,,
2026-08-16 15:44:00,KAITO,LONG,futures,SL,-10.0,,,,,,,,,,
2026-08-16 17:44:38,FET,LONG,futures,SL,-10.0,,,,,,,,,,
2026-08-17 07:08:56,INJ,LONG,futures,TIME_EXIT,1.4,,,,,,,,,,
2026-08-17 08:08:11,ETHFI,SHORT,futures,TIME_EXIT,12.71,,,,,,,,,,
